300		
64.7	6.6	1
86.7	10.8	1
102.6	7.2	1
76.8	10.5	1
83.4	12.3	1
101.6	5.8	1
79.9	8.6	1
94.9	10.8	1
80.1	10.6	1
81	10.4	1
82.2	10.8	1
67.2	10.3	1
77.1	10.4	1
88	9	1
61.2	11	1
68.6	9.6	1
83	13.8	1
78.5	9.2	1
94.7	9.2	1
97.3	9.9	1
95.5	8	1
73.9	8.9	1
69.8	10.5	1
66.3	11.5	1
88.7	10.7	1
68.7	9.5	1
82.5	10.7	1
75.7	8.8	1
93.1	13	1
70.1	13.2	1
84.1	11.8	1
87.4	13.8	1
84.6	7.9	1
76.2	9.8	1
80	10.4	1
68.1	6.1	1
83.3	8	1
88.2	11.4	1
88.8	11.5	1
96	7.5	1
80.4	6.3	1
73.4	10.4	1
80.1	9.1	1
89.3	9.1	1
86.7	12.1	1
66.5	10.5	1
79.6	10.7	1
84.6	11.8	1
76.8	9.7	1
82.2	9.1	1
84.5	11	1
93	11.8	1
86.8	7.6	1
77.2	9.7	1
88.8	7.8	1
72.3	8.3	1
67	9.8	1
79.9	13.7	1
72.6	8.4	1
99.1	11.7	1
83.2	9.8	1
72	8.9	1
85.7	10.7	1
80.3	12	1
72.5	9.1	1
70.9	11.9	1
87.6	4	1
94	10	1
85.3	10.2	1
65.1	6.9	1
82	13.5	1
88	11.5	1
68.6	8.5	1
71.6	5.6	1
87.8	9.2	1
81.9	8.4	1
79.7	9	1
85.6	9.8	1
59.2	9.3	1
70	10.7	1
70.9	9.8	1
61.9	10.3	1
72.4	7.7	1
88.1	8.4	1
64.2	11.6	1
84.2	11.8	1
60.4	8.8	1
87.6	9.7	1
69.2	6.9	1
76.7	11.6	1
74.3	9.7	1
90.1	12.4	1
89.5	9	1
89.9	12.5	1
68.6	12.6	1
78.8	11.2	1
76.5	11	1
64	12.7	1
77.8	8.1	1
75.7	10.8	1
94.5	7.7	1
63.9	8.8	1
61.9	5.8	1
64.6	8.3	1
91.2	9.2	1
86.3	9	1
83.9	11.2	1
78.5	9.8	1
87.3	12.2	1
76.9	9.7	1
63.3	6.6	1
73.2	12.3	1
